epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4995,1.00968,2.83477,1.31602,0.02,1,0.20067,0.14206,0.87832,2.89164,1.28288,2e-05,2e-05,2e-05
2,36.7796,0.98339,2.79273,1.23177,0.02,1,0.29198,0.20931,0.87991,2.86594,1.27723,5.703e-05,5.703e-05,5.703e-05
3,53.6699,0.94126,2.58388,1.24004,0.02,1,0.44603,0.33393,0.89377,2.77459,1.23515,9.01e-05,9.01e-05,9.01e-05
4,69.1763,0.96815,2.25861,1.21694,0.02,1,0.67463,0.46605,0.94462,2.59836,1.16633,0.00011921,0.00011921,0.00011921
5,82.7653,0.90106,1.96562,1.12025,0.02,1,0.74504,0.50056,1.0411,2.46597,1.20113,0.00014436,0.00014436,0.00014436
6,96.7322,0.89532,1.60856,1.12055,0.05264,0.88908,0.76249,0.49993,1.06363,2.3294,1.22596,0.00016555,0.00016555,0.00016555
7,113.62,0.76428,1.24322,1.06062,0.783,0.30147,0.72346,0.49309,1.11794,2.17608,1.26773,0.00018278,0.00018278,0.00018278
8,130.849,0.88993,1.06664,1.12068,0.90999,0.42159,0.84669,0.5379,1.11948,2.08383,1.24555,0.00019605,0.00019605,0.00019605
9,147.857,0.79715,0.9371,1.03954,1,0.40513,0.90698,0.55837,1.12277,2.09126,1.23922,0.00020536,0.00020536,0.00020536
10,164.771,0.88492,1.04924,1.13954,1,0.28654,0.90859,0.55712,1.1517,2.12365,1.23164,0.00021071,0.00021071,0.00021071
11,184.188,0.8061,1.07343,1.06742,1,0.32536,0.88366,0.5362,1.20066,2.18368,1.26852,0.0002121,0.0002121,0.0002121
12,206.15,0.78154,1.01906,1.07235,1,0.39089,0.83342,0.51708,1.20391,2.19306,1.28337,0.00020953,0.00020953,0.00020953
13,244.846,0.689,1.41087,0.98782,0.93499,0.45833,0.82402,0.50233,1.21652,2.17958,1.28736,0.000203,0.000203,0.000203
14,269.954,0.83678,0.98112,1.04579,0.92937,0.54862,0.79967,0.50936,1.21393,2.12999,1.28462,0.00019251,0.00019251,0.00019251
15,285.844,0.71052,0.84724,1.02098,0.90688,0.58333,0.80069,0.51553,1.20882,2.07512,1.28119,0.00017806,0.00017806,0.00017806
16,303.432,0.73089,0.86018,1.05924,0.91329,0.58333,0.79795,0.51609,1.20878,2.02943,1.28116,0.00015965,0.00015965,0.00015965
17,319.781,0.67602,0.86288,1.01577,0.93181,0.57,0.78598,0.49999,1.21359,2.0119,1.28383,0.00013728,0.00013728,0.00013728
18,336.47,0.67862,0.77417,0.98874,1,0.54129,0.74752,0.48729,1.20652,1.9795,1.28094,0.00011095,0.00011095,0.00011095
19,352.908,0.6632,0.78394,0.9922,0.94116,0.54167,0.74677,0.48873,1.19582,1.95986,1.2793,8.066e-05,8.066e-05,8.066e-05
20,369.634,0.65455,0.76076,1.0089,0.94494,0.54167,0.76167,0.48964,1.19065,1.92844,1.27402,4.641e-05,4.641e-05,4.641e-05
